node_id,node_index,date,day,sales_order,production,delivery,factory_issue,group,sub_group,plant,storage_location,day_of_week,is_weekend,month,day_of_month,y_h7,split,sales_order_lag1,sales_order_lag2,sales_order_lag3,sales_order_lag4,sales_order_lag5,sales_order_lag6,sales_order_lag7,production_lag1,production_lag2,production_lag3,production_lag4,production_lag5,production_lag6,production_lag7,delivery_lag1,delivery_lag2,delivery_lag3,delivery_lag4,delivery_lag5,delivery_lag6,delivery_lag7,factory_issue_lag1,factory_issue_lag2,factory_issue_lag3,factory_issue_lag4,factory_issue_lag5,factory_issue_lag6,factory_issue_lag7,sales_order_roll7_mean,sales_order_roll7_std,sales_order_roll7_max,sales_order_roll7_min,production_roll7_mean,production_roll7_std,production_roll7_max,production_roll7_min,delivery_roll7_mean,delivery_roll7_std,delivery_roll7_max,delivery_roll7_min,factory_issue_roll7_mean,factory_issue_roll7_std,factory_issue_roll7_max,factory_issue_roll7_min
AT5X5K,22,2023-01-08,8,3322.0,1500,1225.0,1009.0,A,AT,1919,1930.0,6,True,1,8,2632.0,train,10.0,0.0,3504.0,909.8,2355.0,1070.0,2642.0,1500.0,1000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1667.0,1147.0,735.8,2439.0,2215.6,2317.0,707.0,1672.0,1437.0,1100.0,2265.0,2964.0,1720.0,970.0,1595.8285714285714,1472.2872927458666,3504.0,0.0,1642.857142857143,377.9644730092272,2000.0,1000.0,1678.0571428571427,664.7665727084028,2439.0,735.8,1738.142857142857,684.9052072054519,2964.0,1009.0
AT5X5K,22,2023-01-09,9,2254.0,1500,3501.94,3129.0,A,AT,1919,1930.0,0,False,1,9,2303.0,train,3322.0,10.0,0.0,3504.0,909.8,2355.0,1070.0,1500.0,1500.0,1000.0,2000.0,2000.0,2000.0,1500.0,1225.0,1667.0,1147.0,735.8,2439.0,2215.6,2317.0,1009.0,1672.0,1437.0,1100.0,2265.0,2964.0,1720.0,1764.9714285714285,1469.8190384242157,3504.0,0.0,1642.857142857143,377.9644730092272,2000.0,1000.0,1847.3342857142857,945.9743672858714,3501.94,735.8,1939.4285714285713,862.6619378688382,3129.0,1009.0
AT5X5K,22,2023-01-10,10,2414.0,2000,1559.0,1200.0,A,AT,1919,1930.0,1,False,1,10,1746.0,train,2254.0,3322.0,10.0,0.0,3504.0,909.8,2355.0,1500.0,1500.0,1500.0,1000.0,2000.0,2000.0,2000.0,3501.94,1225.0,1667.0,1147.0,735.8,2439.0,2215.6,3129.0,1009.0,1672.0,1437.0,1100.0,2265.0,2964.0,1773.3999999999999,1473.9298445538943,3504.0,0.0,1642.857142857143,377.9644730092272,2000.0,1000.0,1753.5342857142857,935.8715158762827,3501.94,735.8,1687.4285714285713,765.6798410873954,3129.0,1009.0
AT5X5K,22,2023-01-11,11,1453.0,2000,2590.0,2905.0,A,AT,1919,1930.0,2,False,1,11,1697.0,train,2414.0,2254.0,3322.0,10.0,0.0,3504.0,909.8,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,2000.0,1559.0,3501.94,1225.0,1667.0,1147.0,735.8,2439.0,1200.0,3129.0,1009.0,1672.0,1437.0,1100.0,2265.0,1851.0,1434.6610517238328,3504.0,0.0,1642.857142857143,377.9644730092272,2000.0,1000.0,1775.1057142857142,955.8318650414262,3501.94,735.8,1778.857142857143,876.3533207885636,3129.0,1009.0
AT5X5K,22,2023-01-12,12,2020.0,2000,1824.0,2026.0,A,AT,1919,1930.0,3,False,1,12,1457.0,train,1453.0,2414.0,2254.0,3322.0,10.0,0.0,3504.0,2000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,2590.0,1559.0,3501.94,1225.0,1667.0,1147.0,735.8,2905.0,1200.0,3129.0,1009.0,1672.0,1437.0,1100.0,1639.0,1247.067092554901,3322.0,0.0,1642.857142857143,377.9644730092272,2000.0,1000.0,1930.5628571428572,840.1143916101402,3501.94,1147.0,1911.142857142857,825.1976386643039,3129.0,1009.0
AT5X5K,22,2023-01-13,13,0.0,2000,538.0,880.0,A,AT,1919,1930.0,4,False,1,13,0.0,train,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,0.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,1000.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,1147.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1437.0,1639.0,1247.067092554901,3322.0,0.0,1785.7142857142858,267.26124191242434,2000.0,1500.0,1843.5628571428572,958.0388567226677,3501.94,538.0,1831.5714285714287,901.8342155745437,3129.0,880.0
AT5X5K,22,2023-01-14,14,338.6,1500,1218.0,1040.0,A,AT,1919,1930.0,5,True,1,14,507.0,train,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,10.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1667.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1672.0,1685.9428571428573,1179.9033673104236,3322.0,0.0,1785.7142857142858,267.26124191242434,2000.0,1500.0,1779.42,986.440149291042,3501.94,538.0,1741.2857142857142,950.7796299679042,3129.0,880.0
AT5X5K,22,2023-01-15,15,2632.0,1000,901.0,1110.0,A,AT,1919,1930.0,6,True,1,15,1161.0,train,338.6,0.0,2020.0,1453.0,2414.0,2254.0,3322.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1225.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1009.0,1587.3714285714284,1041.1018677572429,2632.0,0.0,1714.2857142857142,393.3978962347216,2000.0,1000.0,1733.1342857142859,1023.6884777909268,3501.94,538.0,1755.7142857142858,938.5017695393927,3129.0,880.0
AT5X5K,22,2023-01-16,16,2303.0,700,2454.0,2600.0,A,AT,1919,1930.0,0,False,1,16,1120.0,train,2632.0,338.6,0.0,2020.0,1453.0,2414.0,2254.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,1500.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,3501.94,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,3129.0,1594.3714285714284,1046.4818993725053,2632.0,0.0,1600.0,550.7570547286103,2000.0,700.0,1583.4285714285713,766.1287657530461,2590.0,538.0,1680.142857142857,823.7759461915658,2905.0,880.0
AT5X5K,22,2023-01-17,17,1746.0,1000,1990.0,1786.0,A,AT,1919,1930.0,1,False,1,17,864.0,train,2303.0,2632.0,338.6,0.0,2020.0,1453.0,2414.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,2000.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1559.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1200.0,1498.9428571428568,988.1126907007166,2632.0,0.0,1457.142857142857,559.3363414414828,2000.0,700.0,1645.0,781.0128039923545,2590.0,538.0,1763.857142857143,796.1629708737253,2905.0,880.0
AT5X5K,22,2023-01-18,18,1697.0,2000,2063.6,1775.0,A,AT,1919,1930.0,2,False,1,18,247.0,train,1746.0,2303.0,2632.0,338.6,0.0,2020.0,1453.0,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2000.0,1990.0,2454.0,901.0,1218.0,538.0,1824.0,2590.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,2905.0,1533.7999999999997,990.522663378616,2632.0,0.0,1457.142857142857,559.3363414414828,2000.0,700.0,1569.8,695.521588449992,2454.0,538.0,1602.4285714285713,621.6584960525238,2600.0,880.0
AT5X5K,22,2023-01-19,19,1457.0,2500,1751.0,1900.0,A,AT,1919,1930.0,3,False,1,19,1211.0,train,1697.0,1746.0,2303.0,2632.0,338.6,0.0,2020.0,2000.0,1000.0,700.0,1000.0,1500.0,2000.0,2000.0,2063.6,1990.0,2454.0,901.0,1218.0,538.0,1824.0,1775.0,1786.0,2600.0,1110.0,1040.0,880.0,2026.0,1453.3714285714284,967.0433801270859,2632.0,0.0,1528.5714285714287,662.6066850308855,2500.0,700.0,1559.3714285714286,691.6111858414035,2454.0,538.0,1584.4285714285713,609.0462098349235,2600.0,880.0
AT5X5K,22,2023-01-20,20,0.0,3000,715.0,990.0,A,AT,1919,1930.0,4,False,1,20,0.0,train,1457.0,1697.0,1746.0,2303.0,2632.0,338.6,0.0,2500.0,2000.0,1000.0,700.0,1000.0,1500.0,2000.0,1751.0,2063.6,1990.0,2454.0,901.0,1218.0,538.0,1900.0,1775.0,1786.0,2600.0,1110.0,1040.0,880.0,1453.3714285714284,967.0433801270859,2632.0,0.0,1671.4285714285713,859.6787882968957,3000.0,700.0,1584.6571428571428,650.0312988801459,2454.0,715.0,1600.142857142857,588.9285266683976,2600.0,990.0
